pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
75 Cet c,75 Cet,1,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,2051.62000000,45.98000000,-40.47000000,0,3.929000,0.058000,-0.052000,0,,,,,,,,,289.85951,27.96890,-45.44946,0,0.91200,0.08800,-0.14300,0,Msini,0.023000,0.191000,-0.003000,0,,,,,,,,,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,G3 III,4809.00,,,0,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,0.100,0.080,-0.050,0,[Fe/H],2.69,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,0.7236500,-0.7236500,5.3532000,0.0230000,-0.0230000,3.2070000,0.2720000,-0.2720000,5.0934300,0.0039324,-0.0039324,2023-09-19,2023-08,2023-09-19
AF Lep b,AF Lep,1,1,1,Imaging,2023,Paranal Observatory,Published Confirmed,0,<a refstr=FRANSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205420F/abstract target=ref>Franson et al. 2023</a>,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,,,,,,,,,1017.05090,222.47988,-190.69704,0,3.20000,0.70000,-0.60000,0,Mass,0.240000,0.270000,-0.150000,0,,,,,,,,,0,<a refstr=FRANSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205420F/abstract target=ref>Franson et al. 2023</a>,F8 V,6130.00,60.00,-60.00,0,1.25,0.06,-0.06,0,1.20,0.06,-0.06,0,0.190,0.020,-0.020,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,4.9260000,0.0210000,-0.0210000,6.1864400,0.0011395,-0.0011395,2023-06-12,2023-02,2023-06-12
AF Lep b,AF Lep,0,1,1,Imaging,2023,Paranal Observatory,Published Confirmed,0,<a refstr=MESA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206213M/abstract target=ref>Mesa et al. 2023</a>,7520.00000000,1200.00000000,-1300.00000000,0,7.990000,0.850000,-0.920000,0,,,,,,,,,1664.46737,27.01541,-31.78284,0,5.23700,0.08500,-0.10000,0,Mass,0.470000,0.170000,-0.130000,0,,,,,1400,300,-300,0,0,<a refstr=MESA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206213M/abstract target=ref>Mesa et al. 2023</a>,F8 V,6100.00,,,0,1.25,0.06,-0.06,0,1.20,0.06,-0.06,0,,,,,,4.40,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,4.9260000,0.0210000,-0.0210000,6.1864400,0.0011395,-0.0011395,2023-02-25,2023-02,2023-02-25
AF Lep b,AF Lep,0,1,1,Imaging,2023,Paranal Observatory,Published Confirmed,0,<a refstr=DE_ROSA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206332D/abstract target=ref>De Rosa et al. 2023</a>,9060.00000000,3650.00000000,-2480.00000000,0,9.300000,2.300000,-1.800000,0,,,,,,,,,1366.66215,921.70238,-381.39409,0,4.30000,2.90000,-1.20000,0,Mass,0.320000,0.410000,-0.230000,0,,,,,,,,,0,<a refstr=DE_ROSA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230206332D/abstract target=ref>De Rosa et al. 2023</a>,F8 V,6140.00,47.00,-47.00,0,,,,,1.13,0.10,-0.04,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,4.9260000,0.0210000,-0.0210000,6.1864400,0.0011395,-0.0011395,2023-02-25,2023-02,2023-02-25
AU Mic d,AU Mic,1,1,3,Transit Timing Variations,2023,Multiple Observatories,Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,12.73596000,0.00793000,-0.00793000,0,,,,,,,,,,,,,1.05300,0.51100,-0.51100,0,0.00331,0.00161,-0.00161,0,Mass,0.003050,0.001040,-0.001040,0,,,,,,,,,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678.00,90.00,-88.00,0,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,0.230,0.240,-0.300,0,[Fe/H],4.40,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310,2023-11-28,2023-12,2023-11-28
BD-210397 b,BD-210397,1,1,2,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,<a refstr=FRENSCH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604420F/abstract target=ref>Frensch et al. 2023</a>,1891.00000000,56.00000000,-48.00000000,0,2.630000,0.060000,-0.050000,0,,,,,,,,,214.00000,31.00000,-32.00000,0,0.70000,0.10000,-0.10000,0,Msini,0.100000,0.100000,-0.100000,0,0.02,0.00,0.00,0,,,,,0,<a refstr=FRENSCH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604420F/abstract target=ref>Frensch et al. 2023</a>,K7 V,4051.00,239.00,-239.00,0,0.75,0.09,-0.09,0,0.68,0.02,-0.02,0,0.120,0.100,-0.100,0,[Fe/H],4.67,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,0.0228000,-0.0227000,9.8400000,0.0300000,-0.0300000,6.5040000,0.0180000,-0.0180000,9.2596200,0.0008260,-0.0008260,2023-06-27,2023-06,2023-06-27
BD-210397 c,BD-210397,1,1,2,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,6240.00000000,151.00000000,-156.00000000,0,5.900000,0.100000,-0.100000,0,,,,,,,,,1525.57635,190.69704,-190.69704,0,4.80000,0.60000,-0.60000,0,Mass,0.430000,0.050000,-0.050000,0,,,,,,,,,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,K7 V,,,,,,,,,0.69,0.01,-0.01,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,0.0228000,-0.0227000,9.8400000,0.0300000,-0.0300000,6.5040000,0.0180000,-0.0180000,9.2596200,0.0008260,-0.0008260,2023-09-05,2023-08,2023-09-05
BD-210397 c,BD-210397,0,1,2,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,<a refstr=FRENSCH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604420F/abstract target=ref>Frensch et al. 2023</a>,6360.00000000,6260.00000000,-711.00000000,0,5.900000,3.400000,-0.500000,0,,,,,,,,,759.00000,485.00000,-76.00000,0,2.40000,1.50000,-0.20000,0,Msini,0.100000,0.200000,-0.100000,0,0.00,0.00,0.00,0,,,,,0,<a refstr=FRENSCH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604420F/abstract target=ref>Frensch et al. 2023</a>,K7 V,4051.00,239.00,-239.00,0,0.75,0.09,-0.09,0,0.68,0.02,-0.02,0,0.120,0.100,-0.100,0,[Fe/H],4.67,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,0.0228000,-0.0227000,9.8400000,0.0300000,-0.0300000,6.5040000,0.0180000,-0.0180000,9.2596200,0.0008260,-0.0008260,2023-06-27,2023-06,2023-06-27
DMPP-4 b,DMPP-4,1,1,1,Radial Velocity,2023,Multiple Observatories,Published Confirmed,0,<a refstr=BARNES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2033B/abstract target=ref>Barnes et al. 2023</a>,3.49820000,0.00220000,-0.23270000,0,0.048530,0.000360,-0.001970,0,,,,,,,,,12.20000,1.80000,-1.90000,0,0.03839,0.00566,-0.00598,0,Msini,0.063000,,,1,,,,,,,,,0,<a refstr=BARNES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2033B/abstract target=ref>Barnes et al. 2023</a>,F5-F8 V,6400.00,50.00,-50.00,0,1.38,0.01,-0.01,0,1.25,0.02,-0.02,0,-0.007,0.056,-0.056,0,[Fe/H],4.24,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m19.84s,293.5826648,+51d14m08.90s,51.2358069,25.3284000,0.0382000,-0.0380000,5.7293600,0.0230000,-0.0230000,4.4940000,0.0180000,-0.0180000,5.6003700,0.0014052,-0.0014052,2023-08-07,2023-10,2023-08-07
EPIC 229004835 b,EPIC 229004835,0,1,1,Transit,2023,K2,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,16.13655000,0.00168000,-0.00182000,0,,,,,2.020,0.120,-0.080,0,0.180,0.011,-0.007,0,,,,,,,,,,,,,,,,,,739,7,-7,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5886.00,150.51,-93.23,0,1.00,0.04,-0.05,0,1.07,0.18,-0.10,0,,,,,,4.47,0.06,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h25m56.65s,186.4860415,-01d24m17.00s,-1.4047214,121.9710000,0.8790000,-0.8660000,10.2300000,0.0060000,-0.0060000,8.7250000,0.0230000,-0.0230000,10.0494000,0.0004210,-0.0004210,2018-08-02,2018-08,2018-08-02
EPIC 229004835 b,EPIC 229004835,1,1,1,Transit,2023,K2,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,16.14113200,0.00001900,-0.00001900,0,0.123700,0.001700,-0.001700,0,2.332,0.080,-0.094,0,0.208,0.007,-0.008,0,10.40000,1.60000,-1.50000,0,0.03272,0.00503,-0.00472,0,Mass,0.230000,,,1,69.70,3.70,-3.70,0,804,10,-10,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5868.00,60.00,-60.00,0,1.00,0.01,-0.01,0,0.97,0.04,-0.04,0,-0.120,0.050,-0.050,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h25m56.65s,186.4860415,-01d24m17.00s,-1.4047214,121.9710000,0.8790000,-0.8660000,10.2300000,0.0060000,-0.0060000,8.7250000,0.0230000,-0.0230000,10.0494000,0.0004210,-0.0004210,2023-05-03,2023-04,2023-05-03
EPIC 229004835 b,EPIC 229004835,0,1,1,Transit,2023,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,16.14044200,0.00118100,-0.00122300,0,,,,,2.060,0.233,-0.151,0,0.180,0.020,-0.010,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5870.00,50.00,-50.00,0,0.98,0.09,-0.05,0,,,,,-0.150,0.080,-0.080,0,[Fe/H],4.40,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h25m56.65s,186.4860415,-01d24m17.00s,-1.4047214,121.9710000,0.8790000,-0.8660000,10.2300000,0.0060000,-0.0060000,8.7250000,0.0230000,-0.0230000,10.0494000,0.0004210,-0.0004210,2018-02-15,2018-03,2018-02-15
GJ 1151 c,GJ 1151,1,1,1,Radial Velocity,2023,Multiple Facilities,Published Confirmed,0,<a refstr=BLANCO_POZO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230104442B/abstract target=ref>Blanco-Pozo et al. 2023</a>,389.70000000,5.40000000,-6.50000000,0,0.571400,0.005300,-0.006400,0,,,,,,,,,10.62000,1.31000,-1.47000,0,0.03341,0.00412,-0.00463,0,Msini,,,,,,,,,,,,,0,<a refstr=BLANCO_POZO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230104442B/abstract target=ref>Blanco-Pozo et al. 2023</a>,M 4.5V,3280.00,40.00,-40.00,0,0.18,0.00,0.00,0,0.16,0.01,-0.01,0,-0.120,0.100,-0.100,0,[Fe/H],5.09,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h50m55.32s,177.7304866,+48d22m23.64s,48.3732334,8.0362500,0.0077200,-0.0077100,13.7600000,0.2000000,-0.2000000,7.6370000,0.0170000,-0.0170000,11.6938000,0.0004590,-0.0004590,2023-01-23,2023-01,2023-01-23
GJ 328 c,GJ 328,1,1,2,Radial Velocity,2023,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=PINAMONTI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A.122P/abstract target=ref>Pinamonti et al. 2023</a>,241.80000000,1.30000000,-1.70000000,0,0.657000,0.026000,-0.028000,0,,,,,,,,,21.40000,3.40000,-3.20000,0,0.06733,0.01070,-0.01007,0,Msini,,,,,,,,,,,,,0,<a refstr=PINAMONTI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A.122P/abstract target=ref>Pinamonti et al. 2023</a>,M0.0,3897.00,71.00,-71.00,0,0.63,0.07,-0.07,0,0.65,0.08,-0.08,0,-0.060,0.090,-0.090,0,[Fe/H],4.64,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h55m07.67s,133.7819507,+01d32m31.20s,1.5420011,20.5266000,0.0168500,-0.0168500,9.9900000,0.1000000,-0.1000000,6.3520000,0.0260000,-0.0260000,9.2861000,0.0003820,-0.0003820,2023-07-10,2023-09,2023-07-10
GJ 367 c,GJ 367,1,1,3,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,11.53010000,0.00780000,-0.00780000,0,,,,,,,,,,,,,4.13000,0.36000,-0.36000,0,0.01299,0.00113,-0.00113,0,Msini,0.090000,0.070000,-0.070000,0,,,,,,,,,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,M1.0 V,3522.00,70.00,-70.00,0,0.46,0.01,-0.01,0,0.46,0.01,-0.01,0,-0.010,0.120,-0.120,0,[Fe/H],4.78,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,146.1214640,-45d46m44.46s,-45.7790165,9.4126300,0.0028350,-0.0028350,10.1530000,0.0440000,-0.0440000,5.7800000,0.0200000,-0.0200000,9.1515900,0.0006500,-0.0006500,2023-08-07,2023-07,2023-08-07
GJ 367 d,GJ 367,1,1,3,Radial Velocity,2023,La Silla Observatory,Published Confirmed,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,34.36900000,0.07300000,-0.07300000,0,,,,,,,,,,,,,6.03000,0.49000,-0.49000,0,0.01897,0.00154,-0.00154,0,Msini,0.140000,0.090000,-0.090000,0,,,,,,,,,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,M1.0 V,3522.00,70.00,-70.00,0,0.46,0.01,-0.01,0,0.46,0.01,-0.01,0,-0.010,0.120,-0.120,0,[Fe/H],4.78,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,146.1214640,-45d46m44.46s,-45.7790165,9.4126300,0.0028350,-0.0028350,10.1530000,0.0440000,-0.0440000,5.7800000,0.0200000,-0.0200000,9.1515900,0.0006500,-0.0006500,2023-08-07,2023-07,2023-08-07
GJ 3988 b,GJ 3988,1,1,1,Radial Velocity,2023,Calar Alto Observatory,Published Confirmed,0,<a refstr=GORRINI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231005599G/abstract target=ref>Gorrini et al. 2023</a>,6.94420000,0.00100000,-0.00100000,0,0.040500,0.001100,-0.001200,0,,,,,,,,,3.69000,0.42000,-0.41000,0,0.01161,0.00132,-0.00129,0,Msini,0.000000,,,0,2.45,0.15,-0.13,0,348,17,-16,0,0,<a refstr=GORRINI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231005599G/abstract target=ref>Gorrini et al. 2023</a>,M4.5 V,3273.00,101.00,-101.00,0,0.20,0.01,-0.01,0,0.18,0.02,-0.02,0,-0.120,0.170,-0.170,0,[Fe/H],4.92,0.14,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h03m24.09s,255.8503747,+51d24m32.33s,51.4089795,9.9105000,0.0041600,-0.0041600,13.6270000,0.0980000,-0.0980000,7.9210000,0.0210000,-0.0210000,11.9925000,0.0005550,-0.0005550,2023-10-21,2023-10,2023-10-21
GJ 724 b,GJ 724,1,1,1,Radial Velocity,2023,Calar Alto Observatory,Published Confirmed,0,<a refstr=GORRINI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231005599G/abstract target=ref>Gorrini et al. 2023</a>,5.10128400,0.00008000,-0.00007700,0,0.046850,0.000770,-0.000790,0,,,,,,,,,10.75000,0.96000,-0.87000,0,0.03382,0.00302,-0.00274,0,Msini,0.577000,0.055000,-0.052000,0,23.32,0.82,-0.77,0,611,20,-19,0,0,<a refstr=GORRINI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231005599G/abstract target=ref>Gorrini et al. 2023</a>,M1.0 V,3799.00,81.00,-81.00,0,0.52,0.02,-0.02,0,0.53,0.03,-0.03,0,-0.020,0.050,-0.050,0,[Fe/H],4.88,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h40m57.21s,280.2383650,-13d22m57.00s,-13.3824997,16.9658000,0.0140000,-0.0140000,10.6380000,0.0250000,-0.0250000,6.5460000,0.0210000,-0.0210000,9.7691500,0.0003910,-0.0003910,2023-10-21,2023-10,2023-10-21
GJ 806 b,GJ 806,0,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,0.92632450,0.00000090,-0.00000090,0,,,,,1.697,0.738,-0.738,0,0.151,0.066,-0.066,0,,,,,,,,,,,,,,437.88,,,0,1274,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,3573.00,157.00,-157.00,0,0.43,0.01,-0.01,0,,,,,,,,,,4.80,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,12.0445000,0.0043500,-0.0043500,10.7900000,0.1000000,-0.1000000,6.5330000,0.0160000,-0.0160000,9.8246100,0.0007590,-0.0007590,2023-11-28,2017-07,2023-11-28
GJ 806 b,GJ 806,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,0.92632370,0.00000090,-0.00000090,0,0.014060,0.000300,-0.000300,0,1.331,0.023,-0.023,0,0.119,0.002,-0.002,0,1.90000,0.17000,-0.17000,0,0.00598,0.00053,-0.00053,0,Mass,,,,,130.00,6.00,-6.00,0,940,10,-10,0,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,M1.5 V,3600.00,16.00,-16.00,0,0.41,0.00,0.00,0,0.41,0.01,-0.01,0,-0.280,0.070,-0.070,0,[Fe/H],4.98,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,12.0445000,0.0043500,-0.0043500,10.7900000,0.1000000,-0.1000000,6.5330000,0.0160000,-0.0160000,9.8246100,0.0007590,-0.0007590,2023-11-28,2023-10,2023-11-28
GJ 806 c,GJ 806,1,1,2,Radial Velocity,2023,Multiple Observatories,Published Confirmed,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,6.64064000,0.00025000,-0.00025000,0,0.052300,0.001100,-0.001100,0,,,,,,,,,5.80000,0.30000,-0.30000,0,0.01825,0.00094,-0.00094,0,Msini,,,,,9.50,0.40,-0.40,0,490,5,-5,0,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,M1.5 V,3600.00,16.00,-16.00,0,0.41,0.00,0.00,0,0.41,0.01,-0.01,0,-0.280,0.070,-0.070,0,[Fe/H],4.98,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,12.0445000,0.0043500,-0.0043500,10.7900000,0.1000000,-0.1000000,6.5330000,0.0160000,-0.0160000,9.8246100,0.0007590,-0.0007590,2023-11-28,2023-10,2023-11-28
GJ 9404 b,GJ 9404,1,1,1,Radial Velocity,2023,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=BAYCROFT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RNAAS...7..175B/abstract target=ref>Baycroft et al. 2023</a>,13.45860000,0.00440000,-0.00670000,0,0.094300,0.003600,-0.003600,0,,,,,,,,,11.90000,1.90000,-1.90000,0,0.03744,0.00598,-0.00598,0,Msini,0.490000,0.110000,-0.130000,0,,,,,,,,,0,<a refstr=BAYCROFT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RNAAS...7..175B/abstract target=ref>Baycroft et al. 2023</a>,,,,,,,,,,0.62,0.07,-0.07,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h19m23.33s,184.8472095,+28d22m57.77s,28.3827126,23.8839000,0.0254000,-0.0253000,10.6200000,0.1000000,-0.1000000,6.7960000,0.0200000,-0.0200000,9.8702100,0.0009600,-0.0009600,2023-09-05,2023-08,2023-09-05
